SKU,Parfum_Ismi,Koku_Ailesi,Ust_Nota,Kalp_Nota,Dip_Nota,Karakter
"W 1","ANGEL","Oryantal & Yoğun & Gurme","Kavun, Hindistan Cevizi, Mandalina","Bal, Böğürtlen, Orkide, Şeftali, Gül","Çikolata, Karamel, Paçuli, Vanilya, Misk","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 10","GOOD GIRL","Oryantal & Gurme & İddialı","Badem, Kahve çekirdeği, Bergamot","Yasemin Sambac, Sümbülteber, Süsen","Tonka Fasulyesi, Kakao, Vanilya, Pralin","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 100","ESCADA COLLECTION","Oryantal & Gurme & Ağır","Erik, Sıcak Karamel","Yasemin, Gül, Portakal Çiçeği","Sandal Ağacı, Madagaskar Vanilyası, Tonka","Çekicilik, Özgüven ve Cinsel Arzu - Lüks ve Ağır Cam İşçiliği"
"W 101","SEXY GRAFFITI","Meyveli & Tropikal & Tatlı","Çilek, Ahududu, Siyah Frenk Üzümü, Greyfurt","Zambak, Menekşe, Şakayık","Vanilya, Misk, Kaşmir Ağacı","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 102","TOUCH OF PINK","Çiçeksi & Meyveli & Genç","Kan Portakalı, Kardamom, Kişniş, Şeftali","Yasemin, Menekşe Yaprağı, Havuç Tohumu","Vanilya, Misk, Sandal Ağacı","Sıcaklık, Huzur ve Yakınlık - Zarif ve Feminen Kıvrımlar"
"W 104","GAULTIER 2","Oryantal & Unisex & Yoğun","Sıcak Kehribar (Amber)","Pudralı Misk","Tatlı Madagaskar Vanilyası","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 105","CODE FEMME","Oryantal & Çiçeksi & Çekici","İtalyan Portakalı, Acı Portakal, Yasemin","Portakal Çiçeği, Zencefil Akoru","Portakal Çiçeği Balı, Vanilya, Sandalwood","Çekicilik, Özgüven ve Cinsel Arzu - Zarif ve Feminen Kıvrımlar"
"W 106","CAROLINA HERRERA WOMEN","Çiçeksi & Klasik & Pudralı","Kayısı, Portakal Çiçeği, Bergamot, Yeşil","Sümbülteber, Yasemin, Ylang-Ylang, Nergis, Balmumu","Misk, Sandal Ağacı, Kehribar, Sedir, Meşe Yosunu","Ferahlık ve Enerji - Zarif ve Feminen Kıvrımlar"
"W 107","LIBRE","Oryantal & Fougère & Lavantalı","Lavanta, Mandalina, Siyah Frenk Üzümü, Petitgrain","Lavanta, Portakal Çiçeği, Yasemin","Madagaskar Vanilyası, Misk, Sedir Ağacı, Ambergris","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
"W 108","BLV NOTTE","Oryantal & Çikolata & Gece","Galanga, Mandalina, Anason, Bergamot","Vadi Zambağı, İris, Karamelize Notlar","Koyu Siyah Çikolata, Sandal Ağacı, Kehribar","Çekicilik, Özgüven ve Cinsel Arzu - Klasik / Minimalist"
